Timestamp,Age:,Gender,Number of credit hours you're taking in college this semester:,What college is your major under?,Are you subscribed to any of these services?,How much time do you spend on Youtube per day?
4/18/2018 13:32:20,21,Female,15,Natural Science,"Netflix, Hulu, Amazon Prime Videos",4 hrs
4/18/2018 13:33:59,21,Female,13,Natural Science ,"Netflix, Hulu",1 hour 30 min
4/18/2018 13:36:01,19,Female,12,Business,"Netflix, Hulu, Amazon Prime Videos",1hr
4/18/2018 13:39:12,20,Male,15,Education,None of the above,1 hrs 30 min
4/18/2018 13:39:42,22,Male,9,Liberal Arts,None of the above,Too much omo
4/18/2018 13:39:59,20,Male,15,Business,None of the above,45 minutes
4/18/2018 13:45:06,22,Male,15,Engineering,"Netflix, Hulu",5 hr 
4/18/2018 13:45:16,19,Female,12,Business,None of the above,1 hr
4/18/2018 13:45:33,21,Male,10,Natural Sciences,Amazon Prime Videos,90 min
4/18/2018 13:47:18,21,Male,12,Liberal Arts,"Netflix, Amazon Prime Videos",2 hrs
4/18/2018 13:53:23,19,Female,15,Engineering,None of the above,Around 4 hours if Iâ€™m honest
4/18/2018 14:01:57,19,Female,19,Computer Science,Netflix,4 hr
4/18/2018 14:02:32,20,Female,12,business,Netflix,1 hour
4/18/2018 14:22:35,21,Male,18,Liberal Arts,Netflix,5 min
4/18/2018 14:26:56,20,Female,15,Business,"Netflix, Amazon Prime Videos",90 min
4/18/2018 14:28:23,19,Female,19,Business,"Netflix, Amazon Prime Videos",2 hrs
4/18/2018 14:40:30,19,Female,12,Undecided,Netflix,4 hr
4/18/2018 14:46:20,20,Male,9,COLA,None of the above,5
4/18/2018 15:08:17,25,Male,0,Liberal Arts,None of the above,4-5hr
4/18/2018 15:32:50,21,Female,12,Communication,Netflix,1 hr
4/18/2018 15:54:28,21,Male,15,CNS,Netflix,40min
4/18/2018 16:37:40,19,Male,12,Arts and Technology,None of the above,Roughly 4 hours
4/18/2018 17:31:49,21,Female,12,Business and Liberal Arts,Amazon Prime Videos,30 mins
4/18/2018 18:23:04,22,Male,7,Maritime Administration,Netflix,3 hour
4/18/2018 18:42:40,23,Male,0,business,"Netflix, Amazon Prime Videos",4hr
4/18/2018 18:46:45,20,Female,15,Natural sciences ,Netflix,"2 hours (too many, send help pls) "
4/18/2018 22:23:38,21,Female,13,Liberal Arts,"Netflix, Amazon Prime Videos",2 hours
4/19/2018 15:22:55,19,Male,14,Natural Sciences,Netflix,2 hours 
4/19/2018 15:48:10,20,Male,13,Fine Arts,None of the above,300 min
4/19/2018 15:48:22,18,Female,10,McCombs,"Netflix, Amazon Prime Videos",5
4/19/2018 15:48:41,26,Male,9,Engineering ,"Netflix, Amazon Prime Videos",2 min
4/19/2018 15:48:54,20,Female,12,Engineering,Amazon Prime Videos,30 minutes
4/19/2018 15:51:48,18,Male,16,Liberal Arts,None of the above,2 hours
4/19/2018 15:52:18,19,Female,16,Natural Sciences,Netflix,0 minutes
4/19/2018 15:54:17,18,Female,12,CNS,Netflix,3hr
4/19/2018 16:00:13,20,Female,15,Education,Netflix,30 min
4/19/2018 16:47:07,20,Female,12,CNS,"Netflix, Amazon Prime Videos",1-2hr
4/19/2018 16:54:35,19,Female,16,Natural Sciences,None of the above,30 min
4/19/2018 17:18:08,19,Female,12,Liberal Arts,None of the above,6 hours maybe
4/19/2018 19:52:38,23,Female,9,Liberal Arts,"Netflix, Hulu, Amazon Prime Videos",24 min
4/19/2018 20:32:05,19,Female,15,Engineering,Netflix,30 min
4/20/2018 1:07:33,18,Female,14,Natural Science,Netflix,3 hours
4/20/2018 11:22:08,20,Female,14,Liberal Arts,"Netflix, Hulu",2hrs